,TF,target,importance
442,RAG1,ZNF200,2.4171686453168593
90,MITF,VDR,2.416054487288516
943,SP2,ZNF646,2.4156174427023696
790,ZBED1,ZNF814,2.414890208345107
495,ZNF746,POU5F1B,2.4141886210904677
1055,NFYC,ZNF720,2.4138475888503206
611,BAZ2B,ZNF12,2.4137654772054637
760,SATB2,ZNF697,2.4136815227482153
970,KLF9,ZNF511,2.4135286827131175
1170,MYB,ZBTB8A,2.4132712104542637
798,TADA2B,ZNF429,2.41270583145229
510,ZNF408,ZNF562,2.4124116655060384
505,NR1D2,RFX1,2.411429228184088
1091,CTCF,CIC,2.410723694721545
1112,HNF1B,ZNF317,2.4106576325688445
1014,GRHL1,ZFP28,2.4103386352430953
193,ZNF775,HOXA6,2.410103230358287
1026,MECOM,E2F6,2.4100531552732494
708,ZNF280C,RFX6,2.4089193647368603
309,HOXA3,LYAR,2.40830079554306
661,E2F3,AFF4,2.407277380861348
515,GZF1,ZNF580,2.406897176066431
782,FOXK1,GMEB1,2.40689692372522
746,PHTF1,ZNF784,2.4061824742631517
799,TSHZ1,IRX3,2.405720619661644
1186,BCL11B,GTF2IRD2B,2.40441753271307
1013,PAX1,PMS1,2.4039146138145417
873,ZXDB,PLAG1,2.403859355350463
816,ZNF687,HMGB3,2.403227485015985
648,MIER3,CENPT,2.403174375277453
1155,MYBL1,ZNF487,2.402445382701464
1173,FOXM1,ZNF583,2.402082074019603
450,ZNF800,ZBTB22,2.4017921873895993
659,ZNF81,SOX4,2.401573101128186
924,ZFP2,AHCTF1,2.40122745680344
979,ZNF736,ZNF473,2.400890885918632
927,PRDM11,CSRNP1,2.4007565896305256
615,CIC,RERE,2.400229287292381
690,ZGPAT,ZNF354A,2.39952436412863
124,HES1,ZNF345,2.3994604547398737
683,ZNF234,JAZF1,2.398849801715117
794,ZNF480,ZKSCAN2,2.3987171540516723
946,RBPJ,POU5F1,2.397713432118876
744,ZNF33A,ZNF333,2.396858063039222
249,ZNF124,TRERF1,2.3966452220151933
235,ZNF627,TAX1BP1,2.3966025986307695
513,ZNF624,NR3C1,2.3965207320858237
220,ZNF513,ZNF777,2.3962149583886974
396,KLF11,ZNF792,2.3960884682335393
279,NRL,ZBTB24,2.3958847246231083
124,HES1,ZNF17,2.3958151282800637
28,HOXA4,ZNF554,2.3952822753608762
302,ZNF497,ZNF385B,2.395022207189067
1038,ZNF718,GLIS2,2.39492970295884
737,SOX12,RFX3,2.3948229399821686
862,RCOR3,ZNF148,2.3948156544854
635,ZNF785,TEF,2.394657061560592
354,ZNF792,LTF,2.3944897753177927
720,HIF1A,ZNF441,2.393985065174778
748,ZNF658,ZNF845,2.3935390717631866
849,CUX1,PBX1,2.3929271510044923
943,ZNF674,ZNF471,2.392597671865735
1120,TSC22D3,ZSCAN32,2.3923756706124917
43,KLF7,ZNF616,2.3918960510844958
868,ZNF740,TCF12,2.39166948373943
1051,ZNF470,MXD1,2.391057145411987
1035,FOXP4,ZNF367,2.390605183879772
509,ZNF408,FOXN2,2.390487066771436
526,ZNF214,ZNF600,2.389931057555233
1098,GTF2I,JUN,2.3897210420864834
